packet_id,flow_id,priority,arrival_time_ms,outcome,service_time_ms,finish_time_ms,waiting_ms,sojourn_ms,deadline_ms,is_deadline_missed,tx_count,bler,is_success,snr_db,mcs,is_los
HRP-000021,HRP,2,84,delivered,84,85,0,1,4,False,1,2.559943368396489e-10,True,32.40840881411708,16QAM,False
ETC-000020,ETC,1,86,delivered,86,87,0,1,1,False,1,1.2799716841982445e-10,True,34.299910372456374,16QAM,True
HRP-000022,HRP,2,88,delivered,88,89,0,1,4,False,1,3.95928623220243e-09,True,23.37997806233811,16QAM,False
ETC-000021,ETC,1,92,delivered,92,93,0,1,1,False,1,0.0005489439492205594,True,12.967563711575515,QPSK,False
HRP-000023,HRP,2,92,delivered,93,94,1,2,4,False,1,2.559943368396489e-10,True,36.370566905767255,16QAM,False
ETC-000022,ETC,1,95,delivered,95,96,0,1,1,False,1,2.9104017229553136e-06,True,21.664753195038333,16QAM,False
ETC-000023,ETC,1,96,delivered,96,97,0,1,1,False,1,1.2799716841982445e-10,True,32.229116253112664,16QAM,False
HRP-000024,HRP,2,96,delivered,97,98,1,2,4,False,1,2.559943368396489e-10,True,32.45334626865273,16QAM,True
HRP-000025,HRP,2,100,delivered,100,101,0,1,4,False,1,2.559943368396489e-10,True,28.102448527238842,16QAM,False
SRP-000005,SRP,3,100,delivered,101,102,1,2,50,False,1,1.5999646052478056e-09,True,37.45153153232301,16QAM,True
HRP-000026,HRP,2,104,delivered,104,105,0,1,4,False,1,2.559943368396489e-10,True,18.207249057613694,QPSK,False
HRP-000027,HRP,2,108,tx_fail_requeue,108,109,0,1,4,False,1,0.9999981662975308,False,4.307731528797426,QPSK,False
HRP-000027,HRP,2,108,delivered,109,110,1,2,4,False,2,2.559943368396489e-10,True,35.47747277668818,16QAM,True
ETC-000024,ETC,1,112,delivered,112,113,0,1,1,False,1,1.2799716841982445e-10,True,29.580188347316614,16QAM,False
HRP-000028,HRP,2,112,delivered,113,114,1,2,4,False,1,2.559943368396489e-10,True,29.078005150422868,16QAM,True
ETC-000025,ETC,1,115,delivered,115,116,0,1,1,False,1,1.2799716841982445e-10,True,28.39976229182019,16QAM,False
ETC-000026,ETC,1,116,delivered,116,117,0,1,1,False,1,1.2799716841982445e-10,True,25.338989209311183,16QAM,False
ETC-000027,ETC,1,117,delivered,117,118,0,1,1,False,1,2.2747883576812455e-09,True,16.41920182458629,QPSK,False
HRP-000029,HRP,2,116,delivered,118,119,2,3,4,False,1,0.0039659608780466815,True,12.393674526816532,QPSK,False
HRP-000030,HRP,2,120,delivered,120,121,0,1,4,False,1,5.801490767898265e-05,True,20.951406752701477,16QAM,False
