packet_id,flow_id,priority,arrival_time_ms,outcome,service_time_ms,finish_time_ms,first_tx_time_ms,delivered_time_ms,waiting_ms,queue_delay_ms,tx_time_ms,sojourn_ms,deadline_ms,is_deadline_missed,tx_count,bler,is_success,snr_db,mcs,is_los,bits_per_slot,bits_sent_this_slot,remaining_bits_after,bandwidth_eff_mhz
HRP-000016,HRP,2,64,delivered,64,65,64,65,0,0,1,1,4,False,1,2.559943368396489e-10,True,40.307307711588116,16QAM,False,60000,256,0,20.0
ETC-000017,ETC,1,67,delivered,67,68,67,68,0,0,1,1,1,False,1,1.2799716841982445e-10,True,46.44123980517712,16QAM,True,60000,128,0,20.0
HRP-000017,HRP,2,68,delivered,68,69,68,69,0,0,1,1,4,False,1,2.559943368396489e-10,True,39.61743148495668,16QAM,True,60000,256,0,20.0
HRP-000018,HRP,2,72,delivered,72,73,72,73,0,0,1,1,4,False,1,2.559943368396489e-10,True,40.07456825240479,16QAM,False,60000,256,0,20.0
ETC-000018,ETC,1,76,delivered,76,77,76,77,0,0,1,1,1,False,1,1.2799716841982445e-10,True,31.981581392298356,16QAM,False,60000,128,0,20.0
ETC-000019,ETC,1,77,delivered,77,78,77,78,0,0,1,1,1,False,1,1.2799716841982445e-10,True,49.043935049848066,16QAM,False,60000,128,0,20.0
HRP-000019,HRP,2,76,delivered,78,79,78,79,2,2,1,3,4,False,1,2.559943368396489e-10,True,35.39882626168789,16QAM,True,60000,256,0,20.0
HRP-000020,HRP,2,80,delivered,80,81,80,81,0,0,1,1,4,False,1,2.559943368396489e-10,True,35.98463768949044,16QAM,False,60000,256,0,20.0
SRP-000004,SRP,3,80,delivered,81,82,81,82,1,1,1,2,50,False,1,1.5999646052478056e-09,True,34.004982774062654,16QAM,False,60000,1600,0,20.0
HRP-000021,HRP,2,84,delivered,84,85,84,85,0,0,1,1,4,False,1,2.559943368396489e-10,True,43.86818046640361,16QAM,True,60000,256,0,20.0
ETC-000020,ETC,1,86,delivered,86,87,86,87,0,0,1,1,1,False,1,1.2799716841982445e-10,True,37.09632885653112,16QAM,True,60000,128,0,20.0
HRP-000022,HRP,2,88,delivered,88,89,88,89,0,0,1,1,4,False,1,2.559943368396489e-10,True,33.94783350529897,16QAM,True,60000,256,0,20.0
ETC-000021,ETC,1,92,delivered,92,93,92,93,0,0,1,1,1,False,1,1.2799716841982445e-10,True,38.83914923246853,16QAM,False,60000,128,0,20.0
HRP-000023,HRP,2,92,delivered,93,94,93,94,1,1,1,2,4,False,1,2.559943368396489e-10,True,41.05852859857541,16QAM,True,60000,256,0,20.0
ETC-000022,ETC,1,95,delivered,95,96,95,96,0,0,1,1,1,False,1,1.2799716841982445e-10,True,43.084809872670455,16QAM,True,60000,128,0,20.0
ETC-000023,ETC,1,96,delivered,96,97,96,97,0,0,1,1,1,False,1,1.2799716841982445e-10,True,46.86003349945385,16QAM,True,60000,128,0,20.0
HRP-000024,HRP,2,96,delivered,97,98,97,98,1,1,1,2,4,False,1,2.559943368396489e-10,True,47.187664697838244,16QAM,True,60000,256,0,20.0
HRP-000025,HRP,2,100,delivered,100,101,100,101,0,0,1,1,4,False,1,2.559943368396489e-10,True,45.682045863479395,16QAM,True,60000,256,0,20.0
SRP-000005,SRP,3,100,delivered,101,102,101,102,1,1,1,2,50,False,1,1.5999646052478056e-09,True,37.82480673177753,16QAM,False,60000,1600,0,20.0
HRP-000026,HRP,2,104,delivered,104,105,104,105,0,0,1,1,4,False,1,2.559943368396489e-10,True,40.48743227696701,16QAM,True,60000,256,0,20.0
HRP-000027,HRP,2,108,delivered,108,109,108,109,0,0,1,1,4,False,1,2.559943368396489e-10,True,52.96739506269069,16QAM,True,60000,256,0,20.0
ETC-000024,ETC,1,112,delivered,112,113,112,113,0,0,1,1,1,False,1,1.2799716841982445e-10,True,41.742531894979884,16QAM,True,60000,128,0,20.0
HRP-000028,HRP,2,112,delivered,113,114,113,114,1,1,1,2,4,False,1,2.559943368396489e-10,True,51.081887888290005,16QAM,False,60000,256,0,20.0
ETC-000025,ETC,1,115,delivered,115,116,115,116,0,0,1,1,1,False,1,1.2799716841982445e-10,True,33.56150767098788,16QAM,False,60000,128,0,20.0
ETC-000026,ETC,1,116,delivered,116,117,116,117,0,0,1,1,1,False,1,1.2799716841982445e-10,True,46.948396888696536,16QAM,True,60000,128,0,20.0
ETC-000027,ETC,1,117,delivered,117,118,117,118,0,0,1,1,1,False,1,1.2799716841982445e-10,True,47.56999592106136,16QAM,True,60000,128,0,20.0
HRP-000029,HRP,2,116,delivered,118,119,118,119,2,2,1,3,4,False,1,2.559943368396489e-10,True,29.911716139564337,16QAM,False,60000,256,0,20.0
HRP-000030,HRP,2,120,delivered,120,121,120,121,0,0,1,1,4,False,1,2.559943368396489e-10,True,36.589167021031514,16QAM,True,60000,256,0,20.0
SRP-000006,SRP,3,120,delivered,121,122,121,122,1,1,1,2,50,False,1,0.0009555163026775393,True,13.726415019100727,QPSK,False,20000,1600,0,20.0
HRP-000031,HRP,2,124,delivered,124,125,124,125,0,0,1,1,4,False,1,2.559943368396489e-10,True,40.21751097908803,16QAM,False,60000,256,0,20.0
ETC-000028,ETC,1,127,delivered,127,128,127,128,0,0,1,1,1,False,1,1.2799716841982445e-10,True,43.23571103745962,16QAM,True,60000,128,0,20.0
HRP-000032,HRP,2,128,delivered,128,129,128,129,0,0,1,1,4,False,1,2.559943368396489e-10,True,36.534818889213625,16QAM,False,60000,256,0,20.0
ETC-000029,ETC,1,132,delivered,132,133,132,133,0,0,1,1,1,False,1,1.2799716841982445e-10,True,34.25437423948595,16QAM,True,60000,128,0,20.0
HRP-000033,HRP,2,132,delivered,133,134,133,134,1,1,1,2,4,False,1,2.559943368396489e-10,True,47.2147008976263,16QAM,True,60000,256,0,20.0
HRP-000034,HRP,2,136,delivered,136,137,136,137,0,0,1,1,4,False,1,2.559943368396489e-10,True,30.00182107040996,16QAM,False,60000,256,0,20.0
HRP-000035,HRP,2,140,delivered,140,141,140,141,0,0,1,1,4,False,1,2.559943368396489e-10,True,28.19608555697168,16QAM,False,60000,256,0,20.0
ETC-000030,ETC,1,141,delivered,141,142,141,142,0,0,1,1,1,False,1,1.2799716841982445e-10,True,40.8699782298858,16QAM,True,60000,128,0,20.0
SRP-000007,SRP,3,140,delivered,142,143,142,143,2,2,1,3,50,False,1,1.5999646052478056e-09,True,34.27309423104397,16QAM,False,60000,1600,0,20.0
