packet_id,ue_id,flow_id,flow_type,priority,size_bytes,arrival_time_ms,start_tx_time_ms,finish_time_ms,tx_duration_ms,deadline_ms,outcome,tx_count,is_deadline_missed,mcs,snr_db,bler
ETC-ue08-000000,8,ETC,ETC,1,16,7,7.0,8.0,1.0,1,delivered,1,False,16QAM,31.224993763529408,1.2799716841982445e-10
ETC-ue09-000001,9,ETC,ETC,1,16,7,7.0,8.0,1.0,1,delivered,1,False,16QAM,34.76616154616667,1.2799716841982445e-10
ETC-ue02-000000,2,ETC,ETC,1,16,8,8.0,9.0,1.0,1,delivered,1,False,16QAM,49.41945132387556,1.2799716841982445e-10
ETC-ue05-000001,5,ETC,ETC,1,16,8,8.0,9.0,1.0,1,delivered,1,False,16QAM,44.004982774062654,1.2799716841982445e-10
HRP-ue00-000002,0,HRP,HRP,2,32,8,8.0,9.0,1.0,4,delivered,1,False,16QAM,60.34032537317919,2.559943368396489e-10
HRP-ue01-000002,1,HRP,HRP,2,32,8,8.0,9.0,1.0,4,delivered,1,False,16QAM,51.86607697328277,2.559943368396489e-10
HRP-ue02-000002,2,HRP,HRP,2,32,8,8.0,9.0,1.0,4,delivered,1,False,16QAM,49.41945132387556,2.559943368396489e-10
HRP-ue03-000002,3,HRP,HRP,2,32,8,8.0,9.0,1.0,4,delivered,1,False,16QAM,37.6165402691462,2.559943368396489e-10
HRP-ue04-000002,4,HRP,HRP,2,32,8,8.0,9.0,1.0,4,delivered,1,False,16QAM,49.60321142859334,2.559943368396489e-10
HRP-ue05-000002,5,HRP,HRP,2,32,8,8.0,9.0,1.0,4,delivered,1,False,16QAM,44.004982774062654,2.559943368396489e-10
HRP-ue06-000002,6,HRP,HRP,2,32,8,8.0,9.0,1.0,4,delivered,1,False,16QAM,47.346762745237356,2.559943368396489e-10
HRP-ue07-000002,7,HRP,HRP,2,32,8,8.0,9.0,1.0,4,delivered,1,False,16QAM,50.398627035592014,2.559943368396489e-10
HRP-ue08-000002,8,HRP,HRP,2,32,8,8.0,9.0,1.0,4,delivered,1,False,16QAM,53.07407142975671,2.559943368396489e-10
HRP-ue09-000002,9,HRP,HRP,2,32,8,8.0,9.0,1.0,4,delivered,1,False,16QAM,22.87774871732546,4.513012086260204e-08
ETC-ue05-000002,5,ETC,ETC,1,16,9,9.0,10.0,1.0,1,delivered,1,False,16QAM,48.966597549156305,1.2799716841982445e-10
ETC-ue08-000001,8,ETC,ETC,1,16,9,9.0,10.0,1.0,1,delivered,1,False,16QAM,52.82553824581115,1.2799716841982445e-10
ETC-ue00-000002,0,ETC,ETC,1,16,10,10.0,11.0,1.0,1,delivered,1,False,16QAM,60.579407836591855,1.2799716841982445e-10
ETC-ue02-000001,2,ETC,ETC,1,16,10,10.0,11.0,1.0,1,delivered,1,False,16QAM,50.85843800285163,1.2799716841982445e-10
ETC-ue08-000002,8,ETC,ETC,1,16,12,12.0,13.0,1.0,1,delivered,1,False,16QAM,30.65813047708736,1.2799716841982445e-10
ETC-ue09-000002,9,ETC,ETC,1,16,12,12.0,13.0,1.0,1,delivered,1,False,16QAM,44.78719425401698,1.2799716841982445e-10
HRP-ue00-000003,0,HRP,HRP,2,32,12,12.0,13.0,1.0,4,delivered,1,False,16QAM,54.71011884038375,2.559943368396489e-10
HRP-ue01-000003,1,HRP,HRP,2,32,12,12.0,13.0,1.0,4,delivered,1,False,16QAM,63.951550379235094,2.559943368396489e-10
HRP-ue02-000003,2,HRP,HRP,2,32,12,12.0,13.0,1.0,4,delivered,1,False,16QAM,54.97229147509189,2.559943368396489e-10
HRP-ue03-000003,3,HRP,HRP,2,32,12,12.0,13.0,1.0,4,delivered,1,False,16QAM,44.16346117726662,2.559943368396489e-10
HRP-ue04-000003,4,HRP,HRP,2,32,12,12.0,13.0,1.0,4,delivered,1,False,16QAM,68.20390624401757,2.559943368396489e-10
HRP-ue05-000003,5,HRP,HRP,2,32,12,12.0,13.0,1.0,4,delivered,1,False,16QAM,54.343661684957716,2.559943368396489e-10
HRP-ue06-000003,6,HRP,HRP,2,32,12,12.0,13.0,1.0,4,delivered,1,False,16QAM,52.26164408116564,2.559943368396489e-10
HRP-ue07-000003,7,HRP,HRP,2,32,12,12.0,13.0,1.0,4,delivered,1,False,16QAM,48.35304314966268,2.559943368396489e-10
HRP-ue08-000003,8,HRP,HRP,2,32,12,12.0,13.0,1.0,4,delivered,1,False,16QAM,30.65813047708736,2.559943368396489e-10
HRP-ue09-000003,9,HRP,HRP,2,32,12,12.0,13.0,1.0,4,delivered,1,False,16QAM,44.78719425401698,2.559943368396489e-10
ETC-ue00-000003,0,ETC,ETC,1,16,13,13.0,14.0,1.0,1,delivered,1,False,16QAM,54.21108377864514,1.2799716841982445e-10
