packet_id,flow_id,priority,arrival_time_ms,outcome,service_time_ms,finish_time_ms,waiting_ms,sojourn_ms,deadline_ms,is_deadline_missed,tx_count,bler,is_success,snr_db,mcs,is_los
HRP-000000,HRP,2,0,delivered,0,1,0,1,4,False,1,3.992965957877459e-09,True,16.44442956061321,QPSK,False
SRP-000000,SRP,3,0,delivered,1,2,1,2,50,False,1,5.48153073950397e-05,True,21.545595024714103,16QAM,False
HRP-000001,HRP,2,4,delivered,4,5,0,1,4,False,1,2.559943368396489e-10,True,40.55700586301458,16QAM,True
ETC-000000,ETC,1,6,delivered,6,7,0,1,1,False,1,6.473840710263801e-05,True,20.67301288333836,16QAM,False
ETC-000001,ETC,1,7,delivered,7,8,0,1,1,False,1,1.2799716841982445e-10,True,34.61783014195377,16QAM,False
HRP-000002,HRP,2,8,delivered,8,9,0,1,4,False,1,2.559943368396489e-10,True,44.6865290352521,16QAM,True
ETC-000002,ETC,1,9,delivered,9,10,0,1,1,False,1,1.2799716841982445e-10,True,30.73726019088275,16QAM,False
ETC-000003,ETC,1,11,delivered,11,12,0,1,1,False,1,1.2799716841982445e-10,True,40.51743981608745,16QAM,False
HRP-000003,HRP,2,12,delivered,12,13,0,1,4,False,1,2.559943368396489e-10,True,44.40280790523485,16QAM,True
HRP-000004,HRP,2,16,delivered,16,17,0,1,4,False,1,2.559943368396489e-10,True,41.53953992956903,16QAM,True
ETC-000004,ETC,1,18,delivered,18,19,0,1,1,False,1,1.2799716841982445e-10,True,27.685684715546227,16QAM,False
HRP-000005,HRP,2,20,delivered,20,21,0,1,4,False,1,2.559943368396489e-10,True,38.680074887894506,16QAM,False
SRP-000001,SRP,3,20,delivered,21,22,1,2,50,False,1,1.5999646052478056e-09,True,32.50987790817846,16QAM,False
ETC-000005,ETC,1,24,delivered,24,25,0,1,1,False,1,1.2799716841982445e-10,True,43.567641433178,16QAM,True
