packet_id,attempt_idx,t_tx_start_ms,mcs,snr_db,bler,is_success,bits_sent,remaining_bits_after
ETC-000031,1,148,16QAM,65.40959300303165,1.2799716841982445e-10,True,128,0
HRP-000037,1,149,16QAM,57.65084170369747,2.559943368396489e-10,True,256,0
ETC-000032,1,152,16QAM,60.84284513882106,1.2799716841982445e-10,True,128,0
HRP-000038,1,153,16QAM,56.917238379620166,2.559943368396489e-10,True,256,0
HRP-000039,1,156,16QAM,58.66910881778708,2.559943368396489e-10,True,256,0
HRP-000040,1,160,16QAM,55.970797973160636,2.559943368396489e-10,True,256,0
SRP-000008,1,161,16QAM,45.00872280462253,1.5999646052478056e-09,True,600,1000
SRP-000008,2,162,16QAM,62.45710192901658,1.5999646052478056e-09,True,600,400
SRP-000008,3,163,16QAM,61.889212441692564,1.5999646052478056e-09,True,400,0
HRP-000041,1,164,16QAM,70.95401713549548,2.559943368396489e-10,True,256,0
HRP-000042,1,168,16QAM,65.13942386868408,2.559943368396489e-10,True,256,0
ETC-000033,1,171,16QAM,59.306496692045336,1.2799716841982445e-10,True,128,0
HRP-000043,1,172,16QAM,40.5623296348507,2.559943368396489e-10,True,256,0
ETC-000034,1,174,16QAM,57.95034441690781,1.2799716841982445e-10,True,128,0
HRP-000044,1,176,16QAM,61.137943967778945,2.559943368396489e-10,True,256,0
ETC-000035,1,179,16QAM,53.58136678875834,1.2799716841982445e-10,True,128,0
HRP-000045,1,180,16QAM,63.22490734862488,2.559943368396489e-10,True,256,0
SRP-000009,1,181,16QAM,55.87794410097061,1.5999646052478056e-09,True,600,1000
SRP-000009,2,182,16QAM,60.38270042012498,1.5999646052478056e-09,True,600,400
SRP-000009,3,183,16QAM,63.23225911248963,1.5999646052478056e-09,True,400,0
HRP-000046,1,184,16QAM,60.43588465982009,2.559943368396489e-10,True,256,0
ETC-000036,1,188,16QAM,54.138897812742535,1.2799716841982445e-10,True,128,0
HRP-000047,1,189,16QAM,69.545278531946,2.559943368396489e-10,True,256,0
HRP-000048,1,192,16QAM,63.06786130341375,2.559943368396489e-10,True,256,0
ETC-000037,1,193,16QAM,52.57906907564431,1.2799716841982445e-10,True,128,0
HRP-000049,1,196,16QAM,43.411374944572216,2.559943368396489e-10,True,256,0
HRP-000050,1,200,16QAM,50.90885717350058,2.559943368396489e-10,True,256,0
SRP-000010,1,201,16QAM,53.894219247663465,1.5999646052478056e-09,True,600,1000
SRP-000010,2,202,16QAM,63.539618537745895,1.5999646052478056e-09,True,600,400
ETC-000038,1,203,16QAM,60.78014910144371,1.2799716841982445e-10,True,128,0
HRP-000051,1,204,16QAM,60.96917194283147,2.559943368396489e-10,True,256,0
SRP-000010,3,205,16QAM,64.37968483129849,1.5999646052478056e-09,True,400,0
ETC-000039,1,208,16QAM,57.98546408870852,1.2799716841982445e-10,True,128,0
HRP-000052,1,209,16QAM,51.18691650493513,2.559943368396489e-10,True,256,0
HRP-000053,1,212,16QAM,62.740691883931405,2.559943368396489e-10,True,256,0
ETC-000040,1,215,16QAM,60.85969291817531,1.2799716841982445e-10,True,128,0
ETC-000041,1,216,16QAM,59.78943503874149,1.2799716841982445e-10,True,128,0
HRP-000054,1,217,16QAM,50.354101069123146,2.559943368396489e-10,True,256,0
