packet_id,flow_id,priority,t_arrival_ms,t_first_tx_ms,t_done_ms,queue_delay_ms,sojourn_ms,deadline_ms,is_deadline_missed,outcome,tx_count,is_success,mcs,snr_db,bler,bandwidth_eff_mhz,bits_per_slot_eff,packet_bits
SRP-000004,SRP,3,80,81,84,1,4,50,False,delivered,3,True,16QAM,57.82480673177752,1.5999646052478056e-09,0.2,600,1600
HRP-000021,HRP,2,84,84,85,0,1,4,False,delivered,1,True,16QAM,60.48743227696701,2.559943368396489e-10,0.2,600,256
ETC-000020,ETC,1,86,86,87,0,1,1,False,delivered,1,True,16QAM,72.96739506269068,1.2799716841982445e-10,0.2,600,128
HRP-000022,HRP,2,88,88,89,0,1,4,False,delivered,1,True,16QAM,61.742531894979884,2.559943368396489e-10,0.2,600,256
ETC-000021,ETC,1,92,92,93,0,1,1,False,delivered,1,True,16QAM,71.08188788829,1.2799716841982445e-10,0.2,600,128
HRP-000023,HRP,2,92,93,94,1,2,4,False,delivered,1,True,16QAM,53.56150767098788,2.559943368396489e-10,0.2,600,256
ETC-000022,ETC,1,95,95,96,0,1,1,False,delivered,1,True,16QAM,66.94839688869654,1.2799716841982445e-10,0.2,600,128
ETC-000023,ETC,1,96,96,97,0,1,1,False,delivered,1,True,16QAM,67.56999592106136,1.2799716841982445e-10,0.2,600,128
HRP-000024,HRP,2,96,97,98,1,2,4,False,delivered,1,True,16QAM,49.91171613956433,2.559943368396489e-10,0.2,600,256
HRP-000025,HRP,2,100,100,101,0,1,4,False,delivered,1,True,16QAM,56.589167021031514,2.559943368396489e-10,0.2,600,256
SRP-000005,SRP,3,100,101,104,1,4,50,False,delivered,3,True,16QAM,63.23571103745962,1.5999646052478056e-09,0.2,600,1600
HRP-000026,HRP,2,104,104,105,0,1,4,False,delivered,1,True,16QAM,56.53481888921363,2.559943368396489e-10,0.2,600,256
HRP-000027,HRP,2,108,108,109,0,1,4,False,delivered,1,True,16QAM,54.25437423948594,2.559943368396489e-10,0.2,600,256
ETC-000024,ETC,1,112,112,113,0,1,1,False,delivered,1,True,16QAM,67.2147008976263,1.2799716841982445e-10,0.2,600,128
HRP-000028,HRP,2,112,113,114,1,2,4,False,delivered,1,True,16QAM,50.00182107040996,2.559943368396489e-10,0.2,600,256
ETC-000025,ETC,1,115,115,116,0,1,1,False,delivered,1,True,16QAM,48.19608555697167,1.2799716841982445e-10,0.2,600,128
ETC-000026,ETC,1,116,116,117,0,1,1,False,delivered,1,True,16QAM,60.8699782298858,1.2799716841982445e-10,0.2,600,128
HRP-000029,HRP,2,116,118,119,2,3,4,False,delivered,1,True,16QAM,56.883623377221824,2.559943368396489e-10,0.2,600,256
ETC-000027,ETC,1,117,117,118,0,1,1,False,delivered,1,True,16QAM,54.27309423104397,1.2799716841982445e-10,0.2,600,128
HRP-000030,HRP,2,120,120,121,0,1,4,False,delivered,1,True,16QAM,58.91002067683366,2.559943368396489e-10,0.2,600,256
SRP-000006,SRP,3,120,121,124,1,4,50,False,delivered,3,True,16QAM,63.00357121831094,1.5999646052478056e-09,0.2,600,1600
HRP-000031,HRP,2,124,124,125,0,1,4,False,delivered,1,True,16QAM,68.35085873744877,2.559943368396489e-10,0.2,600,256
ETC-000028,ETC,1,127,127,128,0,1,1,False,delivered,1,True,16QAM,73.28280736234747,1.2799716841982445e-10,0.2,600,128
HRP-000032,HRP,2,128,128,129,0,1,4,False,delivered,1,True,16QAM,57.02763955981368,2.559943368396489e-10,0.2,600,256
ETC-000029,ETC,1,132,132,133,0,1,1,False,delivered,1,True,16QAM,69.12334283905574,1.2799716841982445e-10,0.2,600,128
HRP-000033,HRP,2,132,133,134,1,2,4,False,delivered,1,True,16QAM,57.27900435211379,2.559943368396489e-10,0.2,600,256
HRP-000034,HRP,2,136,136,137,0,1,4,False,delivered,1,True,16QAM,58.617992498050654,2.559943368396489e-10,0.2,600,256
HRP-000035,HRP,2,140,140,141,0,1,4,False,delivered,1,True,16QAM,62.26698658682629,2.559943368396489e-10,0.2,600,256
SRP-000007,SRP,3,140,142,146,2,6,50,False,delivered,3,True,16QAM,58.04443734562419,1.5999646052478056e-09,0.2,600,1600
ETC-000030,ETC,1,141,141,142,0,1,1,False,delivered,1,True,16QAM,49.755223786683146,1.2799716841982445e-10,0.2,600,128
HRP-000036,HRP,2,144,144,145,0,1,4,False,delivered,1,True,16QAM,59.66298956561453,2.559943368396489e-10,0.2,600,256
ETC-000031,ETC,1,148,148,149,0,1,1,False,delivered,1,True,16QAM,65.40959300303165,1.2799716841982445e-10,0.2,600,128
HRP-000037,HRP,2,148,149,150,1,2,4,False,delivered,1,True,16QAM,57.65084170369747,2.559943368396489e-10,0.2,600,256
ETC-000032,ETC,1,152,152,153,0,1,1,False,delivered,1,True,16QAM,60.84284513882106,1.2799716841982445e-10,0.2,600,128
HRP-000038,HRP,2,152,153,154,1,2,4,False,delivered,1,True,16QAM,56.917238379620166,2.559943368396489e-10,0.2,600,256
HRP-000039,HRP,2,156,156,157,0,1,4,False,delivered,1,True,16QAM,58.66910881778708,2.559943368396489e-10,0.2,600,256
