snr_db,bler_qpsk,bler_16qam
-5.0,0.999999999999,0.999999999999
-4.5,0.999999999999,0.999999999999
-4.0,0.999999999999,0.999999999999
-3.5,0.999999999999,0.999999999999
-3.0,0.999999999999,0.999999999999
-2.5,0.999999999999,0.999999999999
-2.0,0.999999999999,0.999999999999
-1.5,0.999999999999,0.999999999999
-1.0,0.9999999999965897,0.999999999999
-0.5,0.9999999999705116,0.999999999999
0.0,0.9999999997507298,0.999999999999
0.5,0.9999999979656453,0.999999999999
1.0,0.9999999841808918,0.999999999999
1.5,0.9999998843996588,0.999999999999
2.0,0.9999992172041685,0.999999999999
2.5,0.9999951566566591,0.999999999999
3.0,0.9999729904551279,0.999999999999
3.5,0.9998659694492184,0.9999999999976564
4.0,0.9994148858650391,0.9999999999898287
4.5,0.9977741121717867,0.9999999999547285
5.0,0.9926724975687664,0.9999999997944226
5.5,0.9792085049838346,0.9999999990532777
6.0,0.9491725918634641,0.9999999956086597
6.5,0.892590193784341,0.9999999796406105
7.0,0.8023714212785502,0.99999990645223
7.5,0.6799472941686235,0.9999995779395395
8.0,0.5373933283552179,0.9999981487634563
8.5,0.3934692903776452,0.9999921886007931
9.0,0.26602262477902816,0.999968634633992
9.5,0.16589143205386758,0.9998814643350483
10.0,0.09536612281218726,0.9995829119001234
10.5,0.05047597371796797,0.9986475272451634
11.0,0.024526757753303152,0.9959958233835917
11.5,0.010886130472204214,0.9892610708100046
12.0,0.004381185645261132,0.974065990199604
12.5,0.0015834738411534266,0.9438115872739128
13.0,0.0005079357599772072,0.8908889016079756
13.5,0.00014261582471419842,0.8097226068816777
14.0,3.449730549953678e-05,0.7005295948353529
14.5,7.060611305176323e-06,0.5713017691503712
15.0,1.1982124005216477e-06,0.43608469386383886
15.5,1.648036950241405e-07,0.31017151378060004
16.0,1.790755266295463e-08,0.20505432666455936
16.5,1.4937455716790282e-09,0.12580503343383576
17.0,9.262635103368666e-11,0.07151242820818826
17.5,4.121147867408581e-12,0.03756637352429326
18.0,1.2789769243681803e-13,0.018161513791573825
18.5,1e-300,0.008031781273994398
19.0,1e-300,0.003223049426177127
19.5,1e-300,0.0011617836393604808
20.0,1e-300,0.0003716538480414977
20.5,1e-300,0.00010404407781083869
21.0,1e-300,2.5085140170744147e-05
21.5,1e-300,5.115504499553225e-06
22.0,1e-300,8.645766187420634e-07
22.5,1e-300,1.1837072844134156e-07
23.0,1e-300,1.2796135595571911e-08
23.5,1e-300,1.0612382084218552e-09
24.0,1e-300,6.538414254464442e-11
24.5,1e-300,2.8848035071860068e-12
25.0,1e-300,8.526512829121202e-14
