snr_db,ber_qpsk,ber_16qam
-5.0,0.2869417437260485,0.30053919546944674
-4.5,0.27570047642702855,0.29622759194506165
-4.0,0.264034207638018,0.2916791581266226
-3.5,0.2519570427848299,0.28688328006995434
-3.0,0.23948946302589857,0.2818293279658996
-2.5,0.22665921117064838,0.27650676055682744
-2.0,0.21350218550400613,0.27090525233705387
-1.5,0.2000633031523238,0.2650148469951855
-1.0,0.1863972813913738,0.2588261408506094
-0.5,0.17256927028429592,0.2523305002772858
0.0,0.15865525393145707,0.24552031725696644
0.5,0.14474212166788786,0.2383893072089553
1.0,0.13092729675552447,0.23093285303630962
1.5,0.11731780139111983,0.22314839882129267
2.0,0.10402863708538863,0.21503589568608233
2.5,0.09118037349115202,0.2065983008739398
3.0,0.07889587198172442,0.1978421289421995
3.5,0.0672961279547928,0.18877805091015198
4.0,0.05649530174936167,0.1794215330757539
4.5,0.04659512263129563,0.16979350180834513
5.0,0.03767898814746341,0.15992101376821527
5.5,0.02980622853861985,0.1498379025902576
6.0,0.023007138877866033,0.13958536311254177
6.5,0.0172794660614405,0.12921242294774016
7.0,0.012587033122144622,0.11877623910719845
7.5,0.008861051096347864,0.10834214544379261
8.0,0.006004386400163567,0.09798336639212192
8.5,0.0038986298895199193,0.08778030604617981
9.0,0.002413310419633864,0.07781932196505474
9.5,0.001416119072179128,0.06819090386877356
10.0,0.0007827011290012744,0.058987202643856915
10.5,0.00040456224346702336,0.05029889874720954
11.0,0.0001939854720578607,0.0422114639824061
11.5,8.55105466007685e-05,0.0348009569670535
12.0,3.430262386641539e-05,0.028129596269194507
12.5,1.2380617585204585e-05,0.022241465719527617
13.0,3.969248396342854e-06,0.01715880567081399
13.5,1.1142649676815671e-06,0.012879406259434484
14.0,2.695148117366725e-07,0.009375613530553174
14.5,5.51612190839036e-08,0.0065953578979206255
15.0,9.3610399906851e-09,0.004465400360833996
15.5,1.2875289477643507e-09,0.0028966737321075996
16.0,1.3990278093976892e-10,0.0017912180856996026
16.5,1.1669937903637118e-11,0.0010498536296101766
17.0,7.235975708536577e-13,0.0005795061115338333
17.5,3.216746943617327e-14,0.000299097251369372
18.0,9.84500243879799e-16,0.00014318083055699486
18.5,1.9821248257775038e-17,6.299965438425793e-05
19.0,2.4945167178594873e-19,2.5220421314713253e-05
19.5,1.8530991290125702e-21,9.081669957775232e-06
20.0,7.619853024160595e-24,2.904081161641536e-06
20.5,1.6136187145828037e-26,8.128863163073103e-07
21.0,1.6229619265389873e-29,1.9598009651814045e-07
21.5,7.079866139276215e-33,3.996498027233054e-08
22.0,1.209743769968198e-36,6.7545077629715115e-09
22.5,7.221950598373915e-41,9.24771334958107e-10
23.0,1.3249191934830129e-45,9.996982631475456e-11
23.5,6.468141232063214e-51,8.290948392737165e-12
24.0,7.149524665981203e-57,5.107641846585574e-13
24.5,1.4927078583415463e-63,2.2541623417844673e-14
25.0,4.803529862225985e-71,6.842968021971067e-16
