snr_db,bler_qpsk,bler_16qam
-5.0,0.999999999999,0.999999999999
-4.5,0.999999999999,0.999999999999
-4.0,0.999999999999,0.999999999999
-3.5,0.999999999999,0.999999999999
-3.0,0.999999999999,0.999999999999
-2.5,0.999999999999,0.999999999999
-2.0,0.999999999999,0.999999999999
-1.5,0.999999999999,0.999999999999
-1.0,0.999999999999,0.999999999999
-0.5,0.999999999999,0.999999999999
0.0,0.999999999999,0.999999999999
0.5,0.999999999999,0.999999999999
1.0,0.999999999999,0.999999999999
1.5,0.999999999999,0.999999999999
2.0,0.999999999999,0.999999999999
2.5,0.999999999999,0.999999999999
3.0,0.999999999999,0.999999999999
3.5,0.999999999999,0.999999999999
4.0,0.999999999999,0.999999999999
4.5,0.999999999999,0.999999999999
5.0,0.999999999999,0.999999999999
5.5,0.999999999999,0.999999999999
6.0,0.999999999999,0.999999999999
6.5,0.999999999999,0.999999999999
7.0,0.9999999984219461,0.999999999999
7.5,0.9999993464650917,0.999999999999
8.0,0.9999346645859605,0.999999999999
8.5,0.9980695438781251,0.999999999999
9.0,0.9790572642482737,0.999999999999
9.5,0.8964184802933584,0.999999999999
10.0,0.7142997684073671,0.999999999999
10.5,0.476611133894291,0.999999999999
11.0,0.26685139585612494,0.999999999999
11.5,0.12787518124051644,0.999999999999
12.0,0.053406132086898817,0.999999999999
12.5,0.019614199454853876,0.999999999999
13.0,0.006330686267268404,0.999999999999
13.5,0.0017812366531084756,0.9999999990174834
14.0,0.00043113079321432934,0.9999997152761306
14.5,8.825405827472821e-05,0.999974771226319
15.0,1.4977551814565615e-05,0.9992234426529245
15.5,2.0600442351970116e-06,0.9903558478035939
16.0,2.2384438458367129e-07,0.9432170273862126
16.5,1.8671819423943248e-08,0.8137467885374845
17.0,1.1578293879210833e-09,0.6044501845814807
17.5,5.1514348342607263e-11,0.38036654897350897
18.0,1.5987211554602254e-12,0.20475555297607995
18.5,1e-300,0.0958885332943864
19.0,1e-300,0.03954983539669843
19.5,1e-300,0.014425676232158402
20.0,1e-300,0.004635758155020597
20.5,1e-300,0.0012997731967966386
21.0,1e-300,0.00031351902773668616
21.5,1e-300,6.394192542591437e-05
22.0,1e-300,1.0807154008252162e-05
22.5,1e-300,1.4796330989330642e-06
23.0,1e-300,1.599516835648629e-07
23.5,1e-300,1.3265477494250888e-08
24.0,1e-300,8.173017818080552e-10
24.5,1e-300,3.6060043839825084e-11
25.0,1e-300,1.0658141036401503e-12
